time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,19,9,0,0
2026-04-20 00:00:00+00:00,46,18,0,0
2026-04-21 00:00:00+00:00,44,19,0,0
2026-04-22 00:00:00+00:00,82,31,0,0
2026-04-23 00:00:00+00:00,83,29,0,0
2026-04-24 00:00:00+00:00,60,25,0,0
2026-04-25 00:00:00+00:00,49,21,0,0
2026-04-26 00:00:00+00:00,34,9,0,0
2026-04-27 00:00:00+00:00,25,8,0,0
2026-04-28 00:00:00+00:00,19,5,0,0
2026-04-29 00:00:00+00:00,37,9,0,0
2026-04-30 00:00:00+00:00,48,13,0,0
2026-05-01 00:00:00+00:00,24,5,0,0
2026-05-02 00:00:00+00:00,59,17,0,0
