time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,17,7,0,0
2026-06-18 00:00:00+00:00,9,4,0,0
2026-06-19 00:00:00+00:00,24,5,0,0
2026-06-20 00:00:00+00:00,46,11,0,0
2026-06-21 00:00:00+00:00,43,9,0,0
2026-06-22 00:00:00+00:00,31,7,0,0
2026-06-23 00:00:00+00:00,48,13,0,0
2026-06-24 00:00:00+00:00,20,5,0,0
2026-06-25 00:00:00+00:00,31,7,0,0
2026-06-26 00:00:00+00:00,12,3,0,0
2026-06-27 00:00:00+00:00,19,6,0,0
2026-06-28 00:00:00+00:00,13,4,0,0
2026-06-29 00:00:00+00:00,9,4,0,0
2026-06-30 00:00:00+00:00,20,7,0,0
