time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,15,7,0,0
2026-04-05 00:00:00+00:00,26,10,0,0
2026-04-06 00:00:00+00:00,1,1,0,0
2026-04-07 00:00:00+00:00,7,3,0,0
2026-04-08 00:00:00+00:00,18,6,0,0
2026-04-09 00:00:00+00:00,25,7,0,0
2026-04-10 00:00:00+00:00,27,6,0,0
2026-04-11 00:00:00+00:00,14,6,0,0
2026-04-12 00:00:00+00:00,1,1,0,0
2026-04-13 00:00:00+00:00,22,9,0,0
2026-04-14 00:00:00+00:00,29,8,0,0
2026-04-15 00:00:00+00:00,43,6,0,0
2026-04-16 00:00:00+00:00,18,4,0,0
2026-04-17 00:00:00+00:00,35,10,0,0
