time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,48,13,0,0
2026-05-01 00:00:00+00:00,24,5,0,0
2026-05-02 00:00:00+00:00,59,17,0,0
2026-05-03 00:00:00+00:00,39,13,0,0
2026-05-04 00:00:00+00:00,42,12,0,0
2026-05-05 00:00:00+00:00,31,7,0,0
2026-05-06 00:00:00+00:00,22,9,0,0
2026-05-07 00:00:00+00:00,29,8,0,0
2026-05-08 00:00:00+00:00,22,6,0,0
2026-05-09 00:00:00+00:00,36,10,0,0
2026-05-10 00:00:00+00:00,14,5,0,0
2026-05-11 00:00:00+00:00,23,6,0,0
2026-05-12 00:00:00+00:00,8,3,0,0
2026-05-13 00:00:00+00:00,20,5,0,0
